topic	case	argued	decided	opinion
freedom_of_religion	Mueller v. Allen	Argued: April 18, 1983	Decided: June 29, 1983	Opinion, Rehnquist
freedom_of_religion	Marsh v. Chambers	Argued: April 20, 1983	Decided: July 5, 1983	Opinion, Burger
freedom_of_religion	465 U.S. 668	NA	NA	NA
freedom_of_religion	472 U.S. 38	NA	NA	NA
freedom_of_religion	Estate of Thornton v. Caldor, Inc.	Argued: November 7, 1984	Decided: June 26, 1985	Opinion, Burger
freedom_of_religion	473 U.S. 373	NA	NA	NA
freedom_of_religion	Aguilar v. Felton	Argued: December 5, 1984	Decided: July 1, 1985  [*]	Opinion, Brennan
freedom_of_religion	Goldman v. Weinberger	Argued: January 14, 1986	Decided: March 25, 1986	Opinion, Rehnquist
freedom_of_religion	Bowen v. Roy	Argued: January 14, 1986	Decided: June 11, 1986	Opinion, Burger
freedom_of_religion	Hobbie v. Unemployment Appeals Comm'n of Florida	Argued: December 10, 1986	Decided: February 26, 1987	Opinion, Brennan
freedom_of_religion	Edwards v. Aguillard	Argued: December 10, 1986	Decided: June 19, 1987	Opinion, Brennan
freedom_of_religion	Lyng v. Northwest Indian Cemetery Protective Association	Argued: November 30, 1987	Decided: April 19, 1988	Opinion, O'Connor
freedom_of_religion	Frazee v. Illinois Department of Employment Security	Argued: March 1, 1989	Decided: March 29, 1989	Opinion, White
freedom_of_religion	Webster v. Reproductive Health Services	Argued: April 26, 1989	Decided: July 3, 1989	Opinion, Rehnquist
freedom_of_religion	County of Allegheny v. American Civil Liberties Union, Greater Pittsburgh Chapter	Argued: February 22, 1989	Decided: July 3, 1989  [*]	Opinion, Blackmun
freedom_of_religion	Employment Division v. Smith	Argued: Nov. 6, 1989	Decided: April 17, 1990	Opinion, Scalia
freedom_of_religion	Board of Education of Westside Community Schools v. Mergens By and Through Mergens	Argued: Jan. 9, 1990	Decided: June 4, 1990	Opinion, O'Connor
freedom_of_religion	Lee v. Weisman	Argued: Nov. 6, 1991	Decided: June 24, 1992	Opinion, Kennedy
freedom_of_religion	Lamb's Chapel v. Center Moriches Union Free School District	Argued: Feb. 24, 1993	Decided: June 7, 1993	Opinion, White
freedom_of_religion	Church of Lukumi Babalu Aye, Inc. v. City of Hialeah	Argued: Nov. 4, 1992	Decided: June 11, 1993	Opinion, Kennedy
freedom_of_religion	Rosenberger v. Rector & Visitors of the University of Virginia	Argued: March 1, 1995	Decided: 	Opinion, Kennedy
freedom_of_speech	Schenck v. United States	Argued: January 9, 10, 1919	Decided: March 3, 1919	Opinion, Holmes
freedom_of_speech	Abrams v. United States	Argued: October 21, 22, 1919	Decided: November 10, 1919	Opinion, Clarke
freedom_of_speech	Gitlow v. People	Argued: April 12, 1923	Decided: June 8, 1925	Opinion, Sanford
freedom_of_speech	Whitney v. California	Argued: October 6, 1925	Decided: May 16, 1927	Opinion, Sanford
freedom_of_speech	Stromberg v. California	Argued: April 15, 1931	Decided: May 18, 1931	Opinion, Hughes
freedom_of_speech	Near v. Minnesota	Argued: January 30, 1931	Decided: June 1, 1931	Opinion, Hughes
freedom_of_speech	Grosjean v. American Press Co., Inc.	Argued: January 14, 1936	Decided: February 10, 1936.	Opinion, Sutherland
freedom_of_speech	De Jonge v. Oregon	Argued: December 9, 1936	Decided: January 4, 1937	Opinion, Hughes
freedom_of_speech	Hague v. Committee for Industrial Organization	Argued: February 27, 28, 1939	Decided: June 5, 1939	Opinion, Roberts
freedom_of_speech	Thornhill v. Alabama	Argued: February 29, 1940	Decided: April 22, 1940	Opinion, Murphy
freedom_of_speech	Cantwell v. Connecticut	Argued: March 29, 1940	Decided: May 20, 1940	Opinion, Roberts
freedom_of_speech	Chaplinsky v. New Hampshire	Argued: February 5, 1942	Decided: March 9, 1942	Opinion, Murphy
freedom_of_speech	Marsh v. Alabama	Argued: December 6, 1945	Decided: January 7, 1946	Opinion, Black
freedom_of_speech	339 U.S. 382	NA	NA	NA
freedom_of_speech	Dennis v. United States	Argued: December 4, 1950	Decided: June 4, 1951	Opinion, Vinson
freedom_of_speech	Adler v. Board of Education of City of New York	Argued: January 3, 1952	Decided: March 3, 1952	Opinion, Minton
freedom_of_speech	Joseph Burstyn, Inc. v. Wilson	Argued: April 24, 1952	Decided: May 26, 1952	Opinion, Clark
freedom_of_speech	Watkins v. United States	Argued: March 7, 1957	Decided: June 17, 1957	Opinion, Warren
freedom_of_speech	Yates v. United States	Argued: October 8-9, 1956	Decided: June 17, 1957  [*]	Opinion, Harlan
freedom_of_speech	Roth v. United States	Argued: April 22, 1957	Decided: June 24, 1957  [*]	Opinion, Brennan
freedom_of_speech	Barenblatt v. United States	Argued: November 18, 1958	Decided: June 8, 1959	Opinion, Harlan
freedom_of_speech	Communist Party of the United States v. Subversive Activities Control Bd. No. 12	Argued: October 11-12, 1960	Decided: 	Opinion, Frankfurter
freedom_of_speech	Scales v. United States	Argued: April 29, 1959	Decided: June 5, 1961	Opinion, Harlan
freedom_of_speech	National Association for the Advancement of Colored People v. Button	Argued: November 8,1961	Decided: January 14, 1963	Opinion, Brennan
freedom_of_speech	Edwards v. South Carolina	Argued: December 13, 1962	Decided: February 25, 1963	Opinion, Stewart
freedom_of_speech	New York Times Co. v. Sullivan	Argued: January 6, 1964	Decided: March 9, 1964	Opinion, Brennan
freedom_of_speech	Jacobellis v. Ohio	Argued: March 26, 1963	Decided: June 22, 1964	Opinion, Brennan
freedom_of_speech	Aptheker v. Secretary of State	Argued: April 21, 1964	Decided: June 22, 1964	Opinion, Goldberg
freedom_of_speech	Cox v. Louisiana	Argued: October 21, 1964	Decided: January 18, 1965	Opinion, Goldberg
freedom_of_speech	Cox v. Louisiana	Argued: October 21-22, 1964	Decided: January 18, 1965	Opinion, Goldberg
freedom_of_speech	Zemel v. Rusk	Argued: March 1, 1965	Decided: May 3, 1965	Opinion, Warren
freedom_of_speech	A Book Named "John Cleland's Memoirs of a Woman of Pleasure" v. Attorney General of Massachusetts	Argued: December 7-8, 1965	Decided: March 21, 1966	Opinion, Brennan
freedom_of_speech	Bond v. Floyd	Argued: November 10, 1966	Decided: December 5, 1966	Opinion, Warren
freedom_of_speech	Keyishian v. Board of Regents	Argued: November 17, 1966	Decided: January 23, 1967	Opinion, Brennan
freedom_of_speech	388 U.S. 130	NA	NA	NA
freedom_of_speech	Amalgamated Food Employees Union Local 590 v. Logan Valley Plaza, Inc.	Argued: March 14, 1968	Decided: May 20, 1968	Opinion, Marshall
freedom_of_speech	391 U.S. 367	NA	NA	NA
freedom_of_speech	Epperson v. Arkansas	Argued: October 16, 1968	Decided: November 12, 1968	Opinion, Fortas
freedom_of_speech	Tinker v. Des Moines Independent Community School Dist.	Argued: November 12, 1968	Decided: February 24, 1969	Opinion, Fortas
freedom_of_speech	Stanley v. Georgia	Argued: January 14-15, 1969	Decided: April 7, 1969	Opinion, Marshall
freedom_of_speech	Street v. New York	Argued: October 21, 1968	Decided: April 21, 1969	Opinion, Harlan
freedom_of_speech	Brandenburg v. Ohio	Argued: February 27, 1969	Decided: June 9, 1969	NA
freedom_of_speech	Rowan v. United States Post Office Department	Argued: January 22, 1970	Decided: May 4, 1970	Opinion, Burger
freedom_of_speech	Younger v. Harris	Argued: April 1, 1969	Decided: February 23, 1971	Opinion, Black
freedom_of_speech	Cohen v. California	Argued: February 22, 1971	Decided: June 7, 1971	Opinion, Harlan
freedom_of_speech	Rosenbloom v. Metromedia	Argued: December 7, 1970	Decided: June 7, 1971	Opinion, Brennan
freedom_of_speech	New York Times Co. v. United States	Argued: June 26, 1971	Decided: June 30, 1971 [*]	NA
freedom_of_speech	Lloyd Corp., Ltd. v. Tanner	Argued: April 18, 1972	Decided: June 22, 1972	Opinion, Powell
freedom_of_speech	408 U.S. 92	NA	NA	NA
freedom_of_speech	Grayned v. City of Rockford	Argued: January 19, 1972	Decided: June 26, 1972	Opinion, Marshall
freedom_of_speech	Perry v. Sindermann	Argued: January 18, 1972	Decided: June 29, 1972	Opinion, Stewart
freedom_of_speech	Branzburg v. Hayes	Argued: February 23, 1972	Decided: June 29, 1972*	Opinion, White
freedom_of_speech	413 U.S. 15	NA	NA	NA
freedom_of_speech	Pittsburgh Press Co. v. Pittsburgh Commission on Human Relations	Argued: March 20, 1973	Decided: June 21, 1973	Opinion, Powell
freedom_of_speech	415 U.S. 566	NA	NA	NA
freedom_of_speech	418 U.S. 153	NA	NA	NA
freedom_of_speech	418 U.S. 241	NA	NA	NA
freedom_of_speech	Lehman v. City of Shaker Heights	Argued: February 26-27, 1974	Decided: June 25, 1974	Opinion, Blackmun
freedom_of_speech	Gertz v. Robert Welch, Inc.	Argued: November 14, 1973	Decided: June 25, 1974	Opinion, Powell
freedom_of_speech	Spence v. Washington	Argued: January 9, 1974	Decided: June 25, 1974	NA
freedom_of_speech	Bigelow v. Virginia	Argued: December 18, 1974	Decided: June 16, 1975	Opinion, Blackmun
freedom_of_speech	Buckley v. Valeo	Argued: November 10, 1975	Decided: January 30, 1976  [*]	NA
freedom_of_speech	Time, Inc. v. Firestone	Argued: October 14, 1975	Decided: March 2, 1976	Opinion, Rehnquist
freedom_of_speech	Hudgens v. National Labor Relations Board	Argued: October 14, 1975	Decided: March 3, 1976	Opinion, Stewart
freedom_of_speech	424 U.S. 828	NA	NA	NA
freedom_of_speech	Virginia State Board of Pharmacy v. Virginia Citizens Consumer Council, Inc.	Argued: November 11, 1975	Decided: May 24, 1976	Opinion, Blackmun
freedom_of_speech	427 U.S. 50	NA	NA	NA
freedom_of_speech	Wooley v. Maynard	Argued: November 29, 1976	Decided: April 20, 1977	Opinion, Burger
freedom_of_speech	Linmark Associates, Inc. v. Township of Willingboro	Argued: March 2, 1977	Decided: May 2, 1977	Opinion, Marshall
freedom_of_speech	Carey v. Population Services International	Argued: January 10, 1977	Decided: June 9, 1977	Opinion, Brennan
freedom_of_speech	Bates v. State Bar of Arizona	Argued: January 18, 1977	Decided: June 27, 1977	Opinion, Blackmun
freedom_of_speech	([level Case Citation:]|[group citemenu:])",RH"]In re Primus	Argued: January 16, 1978	Decided: May 30, 1978	Opinion, Powell
freedom_of_speech	443 U.S. 111	NA	NA	NA
freedom_of_speech	Gannett Co., Inc. v. DePasquale	Argued: November 7, 1978	Decided: July 2, 1979	Opinion, Stewart
freedom_of_speech	Pruneyard Shopping Center v. Robins	Argued: March 18, 1980	Decided: June 9, 1980	Opinion, Rehnquist
freedom_of_speech	Central Hudson Gas & Elec. Corp. v. Public Service Comm'n	Argued: March 17, 1980	Decided: June 20, 1980	Opinion, Powell
freedom_of_speech	448 U.S. 555	NA	NA	NA
freedom_of_speech	Schad v. Borough of Mount Ephraim	Argued: February 25, 1981	Decided: June 1, 1981	Opinion, White
freedom_of_speech	Heffron v. International Soc'y for Krishna Consciousness	Argued: April 20, 1981	Decided: June 22, 1981	Opinion, White
freedom_of_speech	453 U.S. 490	NA	NA	NA
freedom_of_speech	Widmar v. Vincent	Argued: October 6, 1981	Decided: December 8, 1981	Opinion, Powell
freedom_of_speech	456 U.S. 45	NA	NA	NA
freedom_of_speech	Globe Newspaper Co. v. Superior Court	Argued: March 29, 1982	Decided: June 23, 1982	Opinion, Brennan
freedom_of_speech	Board of Educ. v. Pico	Argued: March 2, 1982	Decided: June 25, 1982	Opinion, Brennan
freedom_of_speech	458 U.S. 747	NA	NA	NA
freedom_of_speech	National Association for the Advancement of Colored People v. Claiborne Hardware Co.	Argued: March 3, 1982	Decided: July 2, 1982	Opinion, Stevens
freedom_of_speech	Connick v. Myers	Argued: November 8, 1982	Decided: April 20, 1983	Opinion, White
freedom_of_speech	Bolger v. Youngs Drugs Prods. Corp.	Argued: January 12, 1983	Decided: June 24, 1983	Opinion, Marshall
freedom_of_speech	466 U.S. 789	NA	NA	NA
freedom_of_speech	Clark v. Community for Creative Nonviolence	Argued: March 21, 1984	Decided: June 29, 1984	Opinion, White
freedom_of_speech	473 U.S. 788	NA	NA	NA
freedom_of_speech	475 U.S. 41	NA	NA	NA
freedom_of_speech	Press-Enterprise Co. v. Superior Court	Argued: February 26, 1986	Decided: June 30, 1986	Opinion, Burger
freedom_of_speech	Bethel School Dist. No. 403 v. Fraser	Argued: March 3, 1986	Decided: July 7, 1986	Opinion, Burger
freedom_of_speech	Board of Airport Commissioners of the City of Los Angeles v. Jews for Jesus, Inc.	Argued: March 3, 1987	Decided: June 15, 1987	Opinion, O'Connor
freedom_of_speech	483 U.S. 378	NA	NA	NA
freedom_of_speech	484 U.S. 260	NA	NA	NA
freedom_of_speech	Hustler Magazine, Inc. v. Falwell	Argued: December 2, 1987	Decided: February 24, 1988	Opinion, Rehnquist
freedom_of_speech	Boos v. Barry	Argued: November 9, 1987	Decided: March 22, 1988	Opinion, O'Connor
freedom_of_speech	Frisby v. Schultz	Argued: April 20, 1988	Decided: June 27, 1988	Opinion, O'Connor
freedom_of_speech	Texas v. Johnson	Argued: March 21, 1989	Decided: June 21, 1989	Opinion, Brennan
freedom_of_speech	491 U.S. 576	NA	NA	NA
freedom_of_speech	Ward v. Rock Against Racism	Argued: February 27, 1989	Decided: June 22, 1989	Opinion, Kennedy
freedom_of_speech	Osborne v. Ohio	Argued: Dec. 5, 1989	Decided: April 18, 1990	Opinion, White
freedom_of_speech	Board of Education of Westside Community Schools v. Mergens By and Through Mergens	Argued: Jan. 9, 1990	Decided: June 4, 1990	Opinion, O'Connor
freedom_of_speech	United States v. Eichman	Argued: May 14, 1990	Decided: June 11, 1990	Opinion, Brennan
freedom_of_speech	Milkovich v. Lorain Journal Co.	Argued: April 24, 1990	Decided: June 21, 1990	Opinion, Rehnquist
freedom_of_speech	497 U.S. 62	NA	NA	NA
freedom_of_speech	Rust v. Sullivan	Argued: Oct. 30, 1990	Decided: May 23, 1991	Opinion, Rehnquist
freedom_of_speech	Barnes v. Glen Theatre, Inc.	Argued: Jan. 8, 1991	Decided: June 21, 1991	Opinion, Rehnquist
freedom_of_speech	Dawson v. Delaware	Argued: Nov. 12, 1991	Decided: March 9, 1992	Opinion, Rehnquist
freedom_of_speech	R.A.V. v. City of St. Paul	Argued: Dec. 4, 1991	Decided: June 22, 1992	Opinion, Scalia
freedom_of_speech	International Society for Krishna Consciousness, Inc. v. Lee	Argued: March 25, 1992	Decided: June 26, 1992	Opinion, Rehnquist
freedom_of_speech	Lamb's Chapel v. Center Moriches Union Free School District	Argued: Feb. 24, 1993	Decided: June 7, 1993	Opinion, White
freedom_of_speech	Rosenberger v. Rector & Visitors of the University of Virginia	Argued: March 1, 1995	Decided: 	Opinion, Kennedy
freedom_of_speech	NA	NA	NA	NA
freedom_of_speech	NA	NA	NA	NA
freedom_of_the_press	Schenck v. United States	Argued: January 9, 10, 1919	Decided: March 3, 1919	Opinion, Holmes
freedom_of_the_press	Abrams v. United States	Argued: October 21, 22, 1919	Decided: November 10, 1919	Opinion, Clarke
freedom_of_the_press	Gitlow v. People	Argued: April 12, 1923	Decided: June 8, 1925	Opinion, Sanford
freedom_of_the_press	Near v. Minnesota	Argued: January 30, 1931	Decided: June 1, 1931	Opinion, Hughes
freedom_of_the_press	Grosjean v. American Press Co., Inc.	Argued: January 14, 1936	Decided: February 10, 1936.	Opinion, Sutherland
freedom_of_the_press	Thornhill v. Alabama	Argued: February 29, 1940	Decided: April 22, 1940	Opinion, Murphy
freedom_of_the_press	Marsh v. Alabama	Argued: December 6, 1945	Decided: January 7, 1946	Opinion, Black
freedom_of_the_press	Joseph Burstyn, Inc. v. Wilson	Argued: April 24, 1952	Decided: May 26, 1952	Opinion, Clark
freedom_of_the_press	Yates v. United States	Argued: October 8-9, 1956	Decided: June 17, 1957  [*]	Opinion, Harlan
freedom_of_the_press	New York Times Co. v. Sullivan	Argued: January 6, 1964	Decided: March 9, 1964	Opinion, Brennan
freedom_of_the_press	Aptheker v. Secretary of State	Argued: April 21, 1964	Decided: June 22, 1964	Opinion, Goldberg
freedom_of_the_press	388 U.S. 130	NA	NA	NA
freedom_of_the_press	Brandenburg v. Ohio	Argued: February 27, 1969	Decided: June 9, 1969	NA
freedom_of_the_press	Rosenbloom v. Metromedia	Argued: December 7, 1970	Decided: June 7, 1971	Opinion, Brennan
freedom_of_the_press	New York Times Co. v. United States	Argued: June 26, 1971	Decided: June 30, 1971 [*]	NA
freedom_of_the_press	Branzburg v. Hayes	Argued: February 23, 1972	Decided: June 29, 1972*	Opinion, White
freedom_of_the_press	Pittsburgh Press Co. v. Pittsburgh Commission on Human Relations	Argued: March 20, 1973	Decided: June 21, 1973	Opinion, Powell
freedom_of_the_press	Communist Party of Indiana v. Whitcomb	Argued: October 16, 1973	Decided: January 9, 1974	Opinion, Brennan
freedom_of_the_press	418 U.S. 241	NA	NA	NA
freedom_of_the_press	Gertz v. Robert Welch, Inc.	Argued: November 14, 1973	Decided: June 25, 1974	Opinion, Powell
freedom_of_the_press	Bigelow v. Virginia	Argued: December 18, 1974	Decided: June 16, 1975	Opinion, Blackmun
freedom_of_the_press	Time, Inc. v. Firestone	Argued: October 14, 1975	Decided: March 2, 1976	Opinion, Rehnquist
freedom_of_the_press	427 U.S. 539	NA	NA	NA
freedom_of_the_press	Bates v. State Bar of Arizona	Argued: January 18, 1977	Decided: June 27, 1977	Opinion, Blackmun
freedom_of_the_press	Zurcher v. Stanford Daily	Argued: January 17, 1978	Decided: May 31, 1978  [*]	Opinion, White
freedom_of_the_press	448 U.S. 555	NA	NA	NA
freedom_of_the_press	Chandler v. Florida	Argued: November 12, 1980	Decided: January 26, 1981	Opinion, Burger
freedom_of_the_press	Globe Newspaper Co. v. Superior Court	Argued: March 29, 1982	Decided: June 23, 1982	Opinion, Brennan
freedom_of_the_press	Cohen v. Cowles Media Co.	Argued: March 27, 1991	Decided: June 24, 1991	Opinion, White
full_faith_and_credit	Pennoyer v. Neff	Argued: 	Decided: 	Opinion, Field
full_faith_and_credit	International Shoe v. State of Washington	Argued: November 14, 1945	Decided: December 3, 1945	Opinion, Stone
gender	Minor v. Happersett	Argued: February 9, 1875	Decided: March 29, 1875	Opinion, Waite
gender	Wengler v. Druggists Mutual Insurance Co.	Argued: February 25, 1980	Decided: April 22, 1980	Opinion, White
gender	Rostker v. Goldberg	Argued: March 24, 1981 -- Decided June 25, 1981	Decided: 	Opinion, Rehnquist
gender	Mississippi University for Women v. Hogan	Argued: March 22, 1982	Decided: July 1, 1982	Opinion, O'Connor
gender	Arizona Governing Committee for Tax Deferred Annuity and Deferred Compensation Plans v. Norris	Argued: March 28, 1983	Decided: July 6, 1983	NA
gender	Hishon v. King & Spalding	Argued: October 31, 1983	Decided: May 22, 1984	Opinion, Burger
gender	Roberts v. United States Jaycees	NA	NA	Opinion, Kagan
gender	477 U.S. 57	NA	NA	NA
gender	499 U.S. 187	NA	NA	NA
gender	Clinton v. Jones	Argued: January 13, 1997	Decided: May 27, 1997	Opinion, Stevens
gender	ONCALE v. SUNDOWNER OFFSHORE SERVICES, INC.	NA	NA	NA
gender	BURLINGTON INDUSTRIES, INC. v. ELLERTH	NA	NA	Opinion, Kennedy
gender	FARAGHER v. BOCA RATON	NA	NA	NA
gender	United States v. Morrison	Argued: January 11, 2000	Decided: May 15, 2000	Opinion, Rehnquist
government_employment	Hampton v. Mow Sun Wong	Argued: January 13, 1975	Decided: June 1, 1976	Opinion, Stevens
government_employment	426 U.S. 833	NA	NA	NA
government_employment	Dothard v. Rawlinson	Argued: April 19, 1977	Decided: June 27, 1977	Opinion, Stewart
government_employment	Cabell v. Chavez-Salido	Argued: November 3, 1981	Decided: January 12, 1982	Opinion, White
government_employment	Nixon v. Fitzgerald	Argued: November 30, 1981	Decided: June 24, 1982	Opinion, Powell
government_employment	Harlow v. Fitzgerald	Argued: November 30, 1981	Decided: June 24, 1982	Opinion, Powell
government_employment	476 U.S. 267	NA	NA	NA
government_employment	480 U.S. 149	NA	NA	NA
government_employment	Johnson v. Transportation Agency	Argued: November 12, 1986	Decided: March 25, 1987	Opinion, Brennan
government_employment	483 U.S. 378	NA	NA	NA
government_employment	Martin v. Wilks	Argued: January 18, 1989	Decided: June 12, 1989  [*]	Opinion, Rehnquist
government_employment	497 U.S. 62	NA	NA	NA
government_employment	527 U.S. 706	NA	NA	NA
habeas_corpus	Ableman v. Booth	Argued: 	Decided: 	Opinion, Taney
habeas_corpus	Ex parte Milligan	Argued: 	Decided: 	Opinion, Davis
habeas_corpus	Ex parte McCardle	Argued: 	Decided: 	Opinion, Chase
habeas_corpus	Ex parte Siebold	Argued: 	Decided: 	Opinion, Bradley
habeas_corpus	([level Case Citation:]|[group citemenu:])",RH"]In re Neagle	Argued: March 4, 5, 1890	Decided: April 14, 1890	Opinion, Miller
habeas_corpus	In re Debs	Argued: March 5, 26, 1895	Decided: May 7, 1895	Opinion, Brewer
habeas_corpus	Johnson v. Zerbst	Argued: April 4, 1938	Decided: May 23, 1938	Opinion, Black
habeas_corpus	Betts v. Brady	Argued: April 13, 14, 1942	Decided: June 1, 1942	Opinion, Roberts
habeas_corpus	Schneckloth v. Bustamonte	Argued: October 10, 1972	Decided: May 29, 1973	Opinion, Stewart
habeas_corpus	415 U.S. 566	NA	NA	NA
habeas_corpus	Murphy v. Florida	Argued: April 15, 1975	Decided: June 16, 1975	Opinion, Marshall
habeas_corpus	Brewer v. Williams	Argued: October 4, 1976	Decided: March 23, 1977	Opinion, Stewart
habeas_corpus	Pulley v. Harris	Argued: November 7, 1983	Decided: January 23, 1984	Opinion, White
habeas_corpus	Ford v. Wainwright	Argued: April 22, 1986	Decided: June 26, 1986	Opinion, Marshall
habeas_corpus	Gomez v. United States District Court for the Northern District of California	Argued: 	Decided: April 21, 1992	NA
handicapped	Buck v. Bell	Argued: April 22, 1927	Decided: May 2, 1927	Opinion, Holmes
handicapped	Pennhurst State School and Hospital v. Halderman	Argued: December 8, 1980	Decided: April 20, 1981  [*]	Opinion, Rehnquist
handicapped	SUTTON v. UNITED AIR LINES, INC.	NA	NA	NA
housing	Buchanan v. Warley	Argued: April 10, 11, 1916	Decided: November 5, 1917	Opinion, Day
housing	Block v. Hirsh	Argued: March 3, 1921	Decided: April 18, 1921	Opinion, Holmes
housing	Home Building & Loan Assn. v. Blaisdell	Argued: November 8, 9, 1933	Decided: January 8, 1934	Opinion, Hughes
housing	Woods v. Cloyd W. Miller Co.	Argued: February 6, 1948	Decided: February 16, 1948	Opinion, Douglas
housing	334 U.S. 1	NA	NA	NA
housing	Berman v. Parker	Argued: October 19, 1954	Decided: November 22, 1954	Opinion, Douglas
housing	422 U.S. 490	NA	NA	NA
housing	Village of Arlington Heights v. Metropolitan	Argued: October 13, 1976	Decided: January 11, 1977	Opinion, Powell
immunity	Chisholm v. Georgia	Argued: 	Decided: 	Opinion, Iredell
immunity	Kilbourn v. Thompson	Argued: 	Decided: 	Opinion, Miller
immunity	Pollock v. Farmers' Loan and Trust Company	Argued: March 7, 8. 11, 12, 13, 1895	Decided: April 8, 1895.	Opinion, Fuller
immunity	408 U.S. 606	NA	NA	NA
immunity	Doe v. McMillan	Argued: December 13, 1972	Decided: May 29, 1973	Opinion, White
immunity	438 U.S. 478	NA	NA	NA
immunity	443 U.S. 111	NA	NA	NA
immunity	Nixon v. Fitzgerald	Argued: November 30, 1981	Decided: June 24, 1982	Opinion, Powell
immunity	Harlow v. Fitzgerald	Argued: November 30, 1981	Decided: June 24, 1982	Opinion, Powell
immunity	Clinton v. Jones	Argued: January 13, 1997	Decided: May 27, 1997	Opinion, Stevens
immunity	527 U.S. 706	NA	NA	NA
immunity	NA	NA	NA	NA
implied-powers	McCulloch v. Maryland	Argued: 	Decided: 	Opinion, Marshall
import_tariffs	([level Case Citation:]|[group citemenu:])",RH"]Head Money Cases	Argued: November 19, 20, 1884	Decided: December 8, 1884	Opinion, Miller
incorporation	Barron v. Mayor & City Council of Baltimore	Argued: 	Decided: 	Opinion, Marshall
incorporation	Hurtado v. California	Argued: January 22d, 23d 1884.	Decided: March 3d, 1884	Opinion, Matthews
incorporation	Gitlow v. People	Argued: April 12, 1923	Decided: June 8, 1925	Opinion, Sanford
native_americans	Cherokee Nation v. Georgia	Argued: 	Decided: 	Opinion, Marshall
native_americans	Worcester v. Georgia	Argued: 	Decided: 	Opinion, Marshall
native_americans	Williams v. Lee	Argued: November 20, 1958	Decided: January 12, 1959	Opinion, Black
native_americans	White Mountain Apache Tribe v. Bracker	Argued: January 14, 1980	Decided: June 27, 1980	Opinion, Marshall
native_americans	Bowen v. Roy	Argued: January 14, 1986	Decided: June 11, 1986	Opinion, Burger
native_americans	Lyng v. Northwest Indian Cemetery Protective Association	Argued: November 30, 1987	Decided: April 19, 1988	Opinion, O'Connor
native_americans	Employment Division v. Smith	Argued: Nov. 6, 1989	Decided: April 17, 1990	Opinion, Scalia
native_americans	NA	NA	NA	NA
insanity	Buck v. Bell	Argued: April 22, 1927	Decided: May 2, 1927	Opinion, Holmes
insanity	Powell v. Texas	Argued: March 7, 1968	Decided: June 17, 1968	Opinion, Marshall
insanity	Ford v. Wainwright	Argued: April 22, 1986	Decided: June 26, 1986	Opinion, Marshall
insanity	Penry v. Lynaugh	Argued: January 11, 1989	Decided: June 26, 1989	Opinion, O'Connor
international_law	Scott v. Sandford	Argued: 	Decided: 	Opinion, Taney
international_law	Prize Cases	Argued: 	Decided: 	Opinion, Grier
international_law	United States v. Klein	Argued: 	Decided: 	Opinion, Chase
international_law	United States v. Wong Kim Ark	Argued: March 5, 8, 1897	Decided: March 28, 1898	Opinion, Gray
international_relations	Foster & Elam v. Neilson	Argued: 	Decided: 	Opinion, Marshall
international_relations	Worcester v. Georgia	Argued: 	Decided: 	Opinion, Marshall
international_relations	United States v. Libellants and Claimants of the Schooner Amistad	Argued: 	Decided: 1841	Opinion, Story
international_relations	Prize Cases	Argued: 	Decided: 	Opinion, Grier
international_relations	([level Case Citation:]|[group citemenu:])",RH"]Head Money Cases	Argued: November 19, 20, 1884	Decided: December 8, 1884	Opinion, Miller
international_relations	State of Missouri v. Holland	Argued: March 2, 1920	Decided: April 19, 1920	Opinion, Holmes
international_relations	United States v. Curtiss-Wright Export Corp.	Argued: November 19, 20, 1936	Decided: December 21, 1936	Opinion, Sutherland
international_relations	United States v. Belmont	Argued: March 4, 1937	Decided: May 3, 1937	Opinion, Sutherland
international_relations	United States v. Pink	Argued: December 15, 1941	Decided: February 2, 1942	Opinion, Douglas
international_relations	Reid v. Covert	Argued: May 3, 1956	Decided: June 11, 1956	Opinion, Black
international_relations	Perez v. Brownell	Argued: May 1, 1957	Decided: March 31, 1958  [*]	Opinion, Frankfurter
international_relations	Zemel v. Rusk	Argued: March 1, 1965	Decided: May 3, 1965	Opinion, Warren
international_relations	New York Times Co. v. United States	Argued: June 26, 1971	Decided: June 30, 1971 [*]	NA
international_relations	Boos v. Barry	Argued: November 9, 1987	Decided: March 22, 1988	Opinion, O'Connor
internet	Reno v. ACLU	Argued: March 19, 1997	Decided: June 26, 1997	Opinion, Stevens
investigations	Kilbourn v. Thompson	Argued: 	Decided: 	Opinion, Miller
investigations	Watkins v. United States	Argued: March 7, 1957	Decided: June 17, 1957	Opinion, Warren
investigations	Barenblatt v. United States	Argued: November 18, 1958	Decided: June 8, 1959	Opinion, Harlan
involuntary_servitude	Pollock v. Williams	Argued: February 10, 1944	Decided: April 10, 1944	Opinion, Jackson
involuntary_servitude	451 U.S. 100	NA	NA	NA
judicial_review	Marbury v. Madison	Argued: 	Decided: 	Opinion, Marshall
judicial_review	Martin v. Hunter's Lessee	Argued: 	Decided: 	Opinion, Story
judicial_review	Cohens v. Virginia	Argued: 	Decided: 	Opinion, Marshall
judicial_review	South Carolina v. Katzenbach	Argued: January 17-18, 1966	Decided: March 7, 1966	Opinion, Warren
judicial_review	Kent v. United States	Argued: January 19, 1966	Decided: March 21, 1966	Opinion, Fortas
